gvkey,datadate,fyear,tic,conm,fyr,at,ni,sale,roa,atr,pmr
3851,20101231,2010,DAL,DELTA AIR LINES INC,12,43188,593,31755,0.013730666,0.735273687,0.018674225
3851,20111231,2011,DAL,DELTA AIR LINES INC,12,43499,854,35115,0.019632635,0.807259937,0.024320091
3851,20121231,2012,DAL,DELTA AIR LINES INC,12,44550,1009,36670,0.022648709,0.82312009,0.02751568
3851,20131231,2013,DAL,DELTA AIR LINES INC,12,52252,10540,37773,0.201714767,0.722900559,0.27903529
3851,20141231,2014,DAL,DELTA AIR LINES INC,12,54121,659,40362,0.01217642,0.74577336,0.016327238
3851,20151231,2015,DAL,DELTA AIR LINES INC,12,53134,4526,40704,0.085180863,0.766063161,0.111193003
3851,20161231,2016,DAL,DELTA AIR LINES INC,12,51261,4373,39639,0.085308519,0.773277931,0.110320644
3851,20171231,2017,DAL,DELTA AIR LINES INC,12,53292,3577,41244,0.067120769,0.773924792,0.086727766
3851,20181231,2018,DAL,DELTA AIR LINES INC,12,60266,3935,44438,0.065293864,0.737364351,0.08855034
6502,20100131,2009,KR,KROGER CO,1,23093,70,76733,0.003031222,3.322781795,0.000912254
6502,20110131,2010,KR,KROGER CO,1,23505,1116,82189,0.04747926,3.496660285,0.013578459
6502,20120131,2011,KR,KROGER CO,1,23476,602,90374,0.02564321,3.849633668,0.006661208
6502,20130131,2012,KR,KROGER CO,1,24652,1497,96751,0.060725296,3.924671426,0.015472708
6502,20140131,2013,KR,KROGER CO,1,29281,1519,98375,0.051876644,3.359687169,0.015440915
6502,20150131,2014,KR,KROGER CO,1,30556,1728,108465,0.056551905,3.549712004,0.015931406
6502,20160131,2015,KR,KROGER CO,1,33897,2039,109830,0.060152816,3.240109744,0.018565055
6502,20170131,2016,KR,KROGER CO,1,36505,1975,115337,0.054102178,3.159485002,0.017123733
6502,20180131,2017,KR,KROGER CO,1,37197,1907,122662,0.051267575,3.297631529,0.015546787
12141,20100630,2010,MSFT,MICROSOFT CORP,6,86113,18760,62484,0.217853286,0.725604729,0.300236861
12141,20110630,2011,MSFT,MICROSOFT CORP,6,108704,23150,69943,0.212963644,0.643426185,0.330983801
12141,20120630,2012,MSFT,MICROSOFT CORP,6,121271,16978,73723,0.140000495,0.607919453,0.230294481
12141,20130630,2013,MSFT,MICROSOFT CORP,6,142431,21863,77849,0.153498887,0.546573429,0.280838546
12141,20140630,2014,MSFT,MICROSOFT CORP,6,172384,22074,86451,0.128051327,0.50150246,0.255335392
12141,20150630,2015,MSFT,MICROSOFT CORP,6,176223,12193,93580,0.069190741,0.531031704,0.130294935
12141,20160630,2016,MSFT,MICROSOFT CORP,6,193694,16798,85320,0.086724421,0.440488606,0.196882325
12141,20170630,2017,MSFT,MICROSOFT CORP,6,241086,21204,89950,0.087952017,0.373103374,0.235730962
12141,20180630,2018,MSFT,MICROSOFT CORP,6,258848,16571,110360,0.064018266,0.4263506,0.150154041
25434,20100930,2010,SBUX,STARBUCKS CORP,9,6385.9,945.6,10707.4,0.14807623,1.676725285,0.088312756
25434,20110930,2011,SBUX,STARBUCKS CORP,9,7360.4,1245.7,11700.4,0.169243519,1.589641867,0.106466446
25434,20120930,2012,SBUX,STARBUCKS CORP,9,8219.2,1383.8,13299.5,0.168361884,1.618101518,0.104049024
25434,20130930,2013,SBUX,STARBUCKS CORP,9,11516.7,8.3,14892.2,0.000720693,1.293096113,0.000557339
25434,20140930,2014,SBUX,STARBUCKS CORP,9,10752.9,2068.1,16447.8,0.192329511,1.529615267,0.125737181
25434,20150930,2015,SBUX,STARBUCKS CORP,9,12446.1,2757.4,19162.7,0.221547312,1.539654992,0.143894128
25434,20160930,2016,SBUX,STARBUCKS CORP,9,14329.5,2817.7,21315.9,0.19663631,1.487553648,0.13218771
25434,20170930,2017,SBUX,STARBUCKS CORP,9,14365.6,2884.7,22386.8,0.200806092,1.558361642,0.128857184
25434,20180930,2018,SBUX,STARBUCKS CORP,9,24156.4,4518.3,24719.5,0.187043599,1.023310593,0.182782823
64768,20101231,2010,AMZN,AMAZON.COM INC,12,18797,1152,34204,0.061286375,1.819652072,0.033680271
64768,20111231,2011,AMZN,AMAZON.COM INC,12,25278,631,48077,0.024962418,1.901930532,0.013124779
64768,20121231,2012,AMZN,AMAZON.COM INC,12,32555,-39,61093,-0.001197973,1.876608816,-0.000638371
64768,20131231,2013,AMZN,AMAZON.COM INC,12,40159,274,74452,0.006822879,1.853930626,0.003680223
64768,20141231,2014,AMZN,AMAZON.COM INC,12,54505,-241,88988,-0.004421613,1.632657554,-0.00270823
64768,20151231,2015,AMZN,AMAZON.COM INC,12,65444,596,107006,0.009107023,1.635077318,0.005569781
64768,20161231,2016,AMZN,AMAZON.COM INC,12,83402,2371,135987,0.028428575,1.630500468,0.01743549
64768,20171231,2017,AMZN,AMAZON.COM INC,12,131310,3033,177866,0.023098012,1.354550301,0.017052163
64768,20181231,2018,AMZN,AMAZON.COM INC,12,162648,10073,232887,0.061931287,1.431846687,0.043252736
